date,city,avg_temp,max_temp,min_temp,avg_humidity,max_humidity,min_humidity,avg_wind_speed,max_wind_speed,min_wind_speed,dominant_condition
2024-10-17,Bangalore,22.58000000000004,24.650000000000038,20.510000000000048,85.25,91,79,3.105,4.12,2.09,Clouds
2024-10-17,Chennai,28.105000000000004,28.879999999999995,27.370000000000005,89.75,93,86,1.5675000000000001,3.6,0.89,Mist
2024-10-17,Delhi,26.05000000000001,30.05000000000001,22.05000000000001,57.5,78,37,0.77,1.54,0.0,Haze
2024-10-17,Hyderabad,25.980000000000015,27.230000000000015,24.730000000000015,83.0,88,78,2.575,3.09,2.06,Drizzle
2024-10-17,Kolkata,26.470000000000027,26.970000000000027,25.970000000000027,94.0,94,94,1.1575,2.57,0.0,Mist
2024-10-17,Mumbai,29.49000000000001,29.99000000000001,28.99000000000001,74.0,74,74,2.185,3.09,1.54,Haze
2024-10-19,Bangalore,20.78000000000003,20.78000000000003,20.78000000000003,95.0,95,95,1.64,1.64,1.64,Rain
2024-10-19,Chennai,26.68000000000002,27.31,26.33000000000004,95.08333333333333,96,93,1.7133333333333336,2.06,1.54,Rain
2024-10-19,Delhi,23.05000000000001,23.05000000000001,23.05000000000001,73.0,73,73,0.0,0.0,0.0,Haze
2024-10-19,Hyderabad,22.730000000000015,22.730000000000015,22.730000000000015,94.0,94,94,2.485,2.57,2.06,Mist
2024-10-19,Kolkata,24.970000000000027,24.970000000000027,24.970000000000027,94.0,94,94,1.7133333333333336,2.06,1.54,Mist
2024-10-19,Mumbai,24.99000000000001,24.99000000000001,24.99000000000001,88.0,88,88,0.5133333333333333,1.54,0.0,Mist
2024-10-20,Bangalore,27.00117647058826,28.610000000000014,20.510000000000048,71.47058823529412,95,65,1.7352941176470589,2.42,1.54,Clouds
2024-10-20,Chennai,30.850000000000016,31.930000000000007,26.340000000000032,80.0,96,75,3.198235294117647,4.02,2.57,Mist
2024-10-20,Delhi,33.0988235294118,34.96000000000004,23.05000000000001,49.76470588235294,73,46,1.1511764705882352,3.09,0.0,Haze
2024-10-20,Hyderabad,28.406470588235308,30.230000000000015,22.730000000000015,68.94117647058823,94,62,3.936470588235294,5.14,2.06,Haze
2024-10-20,Kolkata,30.911176470588263,31.970000000000027,24.970000000000027,61.705882352941174,94,55,3.2364705882352944,3.6,1.54,Haze
2024-10-20,Mumbai,30.87235294117648,31.99000000000001,24.99000000000001,66.23529411764706,88,62,2.7558823529411764,3.09,1.54,Haze
